Docket Entry ID,Document ID,Description,Label
412060353,,">>>NOTICE REGARDING DEFICIENT MOTION TO APPEAR PRO HAC VICE. Notice to RE-FILE Document No. 249 MOTION for Hilary Wong to Appear Pro Hac Vice . Filing fee $ 200.00, receipt number ANYSDC-30357834. Motion and supporting papers to be reviewed by Clerk's Office staff... The filing is deficient for the following reason(s): expired Certificate of Good Standing from Supreme Court of California;. Re-file the motion as a Motion to Appear Pro Hac Vice - attach the correct signed PDF - select the correct named filer/filers - attach valid Certificates of Good Standing issued within the past 30 days - attach Proposed Order.. (rju)",other
412060354,,"Minute Entry for proceedings held before Judge Lewis A. Kaplan: Telephone Conference held on 12/19/2024. (Court Reporter Rebecca Forman) Associated Cases: 1:21-cv-05807-LAK-VF, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060355,,"Set Hearings: Case Management Conference set for 5/22/2024 at 02:00 PM in Courtroom 21B, 500 Pearl Street, New York, NY 10007 before Judge Lewis A. Kaplan. Associated Cases: 1:21-cv-05807-LAK, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060356,,"Set/Reset Hearings: Status Conference set for 5/22/2024 at 10:30 AM in Courtroom 21B, 500 Pearl Street, New York, NY 10007 before Judge Lewis A. Kaplan. Associated Cases: 1:21-cv-05807-LAK, 1:21-cv-05973-LAK, 1:21-cv-06603-LAK, 1:21-cv-07550-LAK(Mohan, Andrew)",other
412060317,425312813,**AUTO** Meeting of Creditors 7 (No Asset),other
412060318,425312814,**AUTO** Meeting of Creditors 7 (No Asset),other
412060319,425312816,**AUTO** Meeting of Creditors 7 (No Asset),other
412060320,425312821,**AUTO** Meeting of Creditors 7 (No Asset),other
412060321,425312822,**AUTO** Meeting of Creditors 7 (No Asset),other
412060322,425312823,**AUTO** Meeting of Creditors 7 (No Asset),other
412060323,425312824,Notice of Lodgment of Order Confirming Chapter 13 Plan (Auto),other
412060324,425312825,Meeting of Creditors Chapter 7 (No Asset) (I/J No POC) (309A) (AutoAssign),other
412060325,425312826,Notice of Lodgment,other
412060326,,Clerk's Notation re 3 Certificate of Interested Persons/Corporate Disclosure Statement reviewed by Mark H. Cohen. (lme),other
412060401,425312988,Receipt Number and Filing Fee,other
412060402,425312989,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060403,425312990,Receipt Number and Filing Fee AND Receipt Number and Filing Fee AND Receipt Number and Miscellaneous Fee,other
412060404,425312991,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060405,425312992,Receipt Number and Filing Fee,other
412060406,425312993,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060407,425312994,Receipt Number and Filing Fee AND Receipt Number and Miscellaneous Fee,other
412060408,425312995,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060409,425312996,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060410,425312997,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060411,425312998,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060412,425312999,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060413,425313000,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060414,425313001,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060415,425313002,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060416,425313003,AutoClose Bankruptcy Case,other
412060417,425313004,AutoClose Bankruptcy Case,other
412060418,425313005,AutoClose Bankruptcy Case,other
412060419,425313006,AutoClose Bankruptcy Case,other
412060420,425313007,Declaration (Motion related),declaration
412060381,425312968,Letter Regarding Fees Due,other
412060382,425312969,Enter Individual Creditor(s) (Paperless),other
412060383,425312970,Determination of Secured Status and Notice of Motion,other
412060384,425312971,Close Bankruptcy Case (BMW),other
412060385,425312972,Close Bankruptcy Case (SHG),other
412060386,425312973,Close Bankruptcy Case (SHG),other
412060387,425312974,Close Bankruptcy Case (SHG),other
412060388,425312975,Close Bankruptcy Case (SHG),other
412060389,425312976,Close Bankruptcy Case (SHG),other
412060390,425312977,"Discharge of Debtor, Chapter 7 (automatic)",other
412060391,425312978,"Discharge of Debtor, Chapter 7 (automatic)",other
412060392,425312979,Proof of Service,other
412060393,425312980,Notice to Court of Intent to Argue (no PDF),other
412060394,425312981,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060395,425312982,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060396,425312983,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060397,425312984,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060398,425312985,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060399,425312986,Receipt Number and Filing Fee,other
412060400,425312987,Order Re: Debtor's Compliance with 521(a)(1) Filing Requirements,order
412060377,425312964,Discharging Debtor,other
412060378,425312965,Final Decree; Case Closed,judgment
412060379,425312966,Letter Regarding Fees Due,other
412060380,425312967,Letter Regarding Fees Due,other
412060327,,"Return of Service Executed by Alex E. Wetzel. Verizon Wireless Services, LLC served on 11/6/2024, answer due 11/27/2024. (Gomez, Octavio) (Entered: 11/13/2024)",other
412060328,,"NOTICE of Settlement as to Equifax Information Services LLC and Verizon Wireless Services, LLC by Alex E. Wetzel (Gomez, Octavio) (Entered: 11/21/2024)",other
412060329,,"ORDER. The parties having informed the Court of settlement, the Court hereby DIRECTS the Clerk to administratively close this case. These parties shall file a dismissal upon finalization of the settlement documents. If settlement negotiations fail, the parties should promptly move to reopen the case. Signed by Judge Mark H. Cohen on 12/13/2024. (bgt) (Entered: 12/13/2024)",order
412060330,,Civil Case Terminated. Magistrate Judge Catherine M. Salinas terminated from case. (bgt),other
412060331,,"ENDORSED ORDER: On July 16, 2020, the Court entered an order directing the parties to file their completed Case Management Report by August 5, 2020. (Doc. # 3). However, that deadline has elapsed, and a review of the docket reveals that no report has been filed. Accordingly, the parties are directed to file their completed Case Management Report by August 12, 2020. Signed by Judge Virginia M. Hernandez Covington on 8/7/2020. (MWS) (Entered: 08/07/2020)",order
412060332,,"ENDORSED ORDER: Defendant's unopposed motion for extension of time to respond to the complaint is granted. (Doc. # 14). Response now due August 21, 2020. Signed by Judge Virginia M. Hernandez Covington on 8/12/2020. (AR) (Entered: 08/12/2020)",order
412060333,,"ENDORSED ORDER: In light of the Court's Case Management and Scheduling Order (Doc. # 18), no case management hearing will be held. Additionally, in order to keep cases moving on track, the Court has found it necessary to impose some restrictions on the types and number of extensions to case management deadlines that it grants. Thus, the parties are advised that, while short extensions, especially if unopposed, will be favorably considered, the Court will not substantially move the dispositive motions deadline or the trial date. Signed by Judge Virginia M. Hernandez Covington on 8/14/2020. (TWL) (Entered: 08/14/2020)",order
412060334,,"ENDORSED ORDER: Defendant's unopposed motion for extension of time to file response is granted. Response now due August 28, 2020. Signed by Judge Virginia M. Hernandez Covington on 8/24/2020. (AR) Modified on 8/24/2020 (AR). (Entered: 08/24/2020)",order
412060335,,"ENDORSED ORDER: On the basis of the Notice of Settlement (Doc. # 23), this cause is hereby dismissed, without prejudice and subject to the right of the parties, within 60 days of the date hereof, to submit a stipulated form of final order or judgment, or request an extension of time, should they so choose or for any party to move to reopen the action, upon good cause being shown. After that 60 day period, however, without further order, this dismissal shall be deemed with prejudice. The Clerk is directed to terminate any previously scheduled deadlines and thereafter close this case. Signed by Judge Virginia M. Hernandez Covington on 8/28/2020. (AR) (Entered: 08/28/2020)",order
412060336,,"ENDORSED ORDER: Pursuant to the Notice of Voluntary Dismissal with Prejudice (Doc. # 25), this case is dismissed with prejudice, with each side to bear its own fees and costs. Signed by Judge Virginia M. Hernandez Covington on 12/7/2020. (AR) (Entered: 12/07/2020)",order
412060301,425312778,Memorandum in Opposition to Motion,motion
412060302,425312779,Amended Complaint/Petition,pleading
412060303,425312780,Memorandum in Opposition to Motion,motion
412060304,425312781,Administrative Motion to Consider Whether Another Partys Material Should Be Sealed,motion
412060305,425312782,Administrative Motion to Consider Whether Another Partys Material Should Be Sealed,motion
412060306,425312783,Exhibits,other
412060307,425312784,MDL Member Case,other
412060308,425312785,Summons Issued,other
412060309,425312786,Administrative Motion to Consider Whether Another Partys Material Should Be Sealed,motion
412060310,425312787,Discovery Letter Brief,motion
412060311,,Transmission of USCA Opinion to the District Judge re: 54 USCA Opinion..(nd),other
412060312,,"Transmission of USCA Mandate to the District Judge re: 55 USCA Mandate,..(nd)",other
412060313,425312809,**AUTO** Meeting of Creditors 7 (No Asset),other
412060314,425312810,**AUTO** Meeting of Creditors 7 (No Asset),other
412060315,425312811,Withdrawal from Court Calendar (text only),other
412060316,425312812,**AUTO** Meeting of Creditors 7 (No Asset),other
412060281,,"TEXT ONLY ORDER AMENDING CASE MANAGEMENT ORDER: Jury Trial set for the term beginning 10/18/2021 09:00 AM in Courtroom 4B (Jackson) Johnson before District Judge Kristi H. Johnson; Pretrial Conference set for 9/3/2021, time to be determined, in Chambers 4.550 (Jackson) Johnson before District Judge Kristi H. Johnson; Settlement Conference set for 3/16/2021 09:00 AM in Chambers 6.150 (Jackson) Isaac before Magistrate Judge LaKeysha Greer Isaac ; ADR Report due by 8/27/2021. All other case management deadlines remain unchanged. NO FURTHER WRITTEN ORDER SHALL ISSUE. Signed by Magistrate Judge LaKeysha Greer Isaac on 1/8/21 (Lewis, Nijah) Modified on 1/8/2021 (Lewis, Nijah).",order
412060282,425312759,Certificate of Service,other
412060283,425312760,Close Bankruptcy Case,other
412060284,425312761,Declaration of No Objection (text only),other
412060285,425312762,Notice of Requirement to File a Certificate of Completion of a Financial Management Course,other
412060286,425312763,Notice of Requirement to File a Certificate of Completion of a Financial Management Course,other
412060287,425312764,Notice of Requirement to File a Certificate of Completion of a Financial Management Course,other
412060288,425312765,Pay Filing Fees in Installments (Form 103A),other
412060289,425312766,Chapter 7 Statement of Your Current Monthly Income (Form 122A-1)/(122A-1Supp),other
412060290,425312767,Certificate of Credit Counseling,other
412060291,425312768,Statement About Your Social Security Numbers (Form 121),other
412060292,425312769,Voluntary Petition (Chapter 7a),pleading
412060293,425312770,Meeting of Creditors 7 (No Asset Individual),other
412060294,425312771,Pay Filing Fees in Installments (Form 103A),other
412060295,425312772,Chapter 7 Statement of Your Current Monthly Income (Form 122A-1)/(122A-1Supp),other
412060296,425312773,Certificate of Credit Counseling,other
412060297,425312774,Statement About Your Social Security Numbers (Form 121),other
412060298,425312775,Voluntary Petition (Chapter 7a),pleading
412060299,425312776,Statement About Your Social Security Numbers (Form 121),other
412060300,425312777,Statement,other
412060261,,"Receipt of Filing Fee for Verified Petition/Pro Hac Vice( 22-05001-gs) [misc,verpeta] ( 250.00). Receipt number A21843344, fee amount $ 250.00.(re: Doc#124) (U.S. Treasury) (Entered: 06/12/2024)",other
412060262,,"Receipt of Filing Fee for Verified Petition/Pro Hac Vice( 22-05001-gs) [misc,verpeta] ( 250.00). Receipt number A21843344, fee amount $ 250.00.(re: Doc#125) (U.S. Treasury) (Entered: 06/12/2024)",other
412060263,,"Minute Entry Re: hearing on 06/13/2024 09:30 am. Continued. (related document(s): 1 Complaint filed by CHRISTINA W. LOVATO) Appearances: AMANDA COTTRELL, SOLOMON B. GENET, TALITHA GRAY KOZLOWSKI, JEFFREY L HARTMAN, JENNIFER L. NASSIRI Status Hearing to be held on 09/12/2024 at 09:30 AM at GS Zoom Teleconference Line. (mag) (Entered: 06/14/2024)",other
412060264,,"Transcript regarding Hearing Held on 3/14/24. The transcript may be viewed at the Bankruptcy Court Clerk's Office. For additional information, you may contact the Transcriber Access Transcripts, LLC, Telephone number (855) 873-2223. Purchasing Party: Solomon Genet. Redaction Request Due By 07/19/2024. Redacted Transcript Submission Due By 07/29/2024. Transcript access will be restricted through 09/26/2024. (ACCESS TRANSCRIPTS, LLC) (Entered: 06/28/2024)",other
412060265,,"Transcript regarding Hearing Held on 5-2-24. The transcript may be viewed at the Bankruptcy Court Clerk's Office. For additional information, you may contact the Transcriber Access Transcripts, LLC, Telephone number (855) 873-2223. Purchasing Party: Solomon Genet. Redaction Request Due By 07/19/2024. Redacted Transcript Submission Due By 07/29/2024. Transcript access will be restricted through 09/26/2024. (ACCESS TRANSCRIPTS, LLC) (Entered: 06/28/2024)",other
412060266,,"Transcript regarding Hearing Held on 6/13/24. The transcript may be viewed at the Bankruptcy Court Clerk's Office. For additional information, you may contact the Transcriber Access Transcripts, LLC, Telephone number (855) 873-2223. Purchasing Party: Solomon Genet. Redaction Request Due By 07/19/2024. Redacted Transcript Submission Due By 07/29/2024. Transcript access will be restricted through 09/26/2024. (ACCESS TRANSCRIPTS, LLC) (Entered: 06/28/2024)",other
412060267,,"Hearing Scheduled/Rescheduled. Hearing scheduled 9/12/2024 at 09:30 AM at GS Zoom Teleconference Line. (Related document(s)164 Motion to Extend Time filed by Defendant AHERN RENTALS, INC..) (mmm) (Entered: 08/16/2024)",other
412060268,,"Transcript regarding Hearing Held on 9/12/24. The transcript may be viewed at the Bankruptcy Court Clerk's Office. For additional information, you may contact the Transcriber Access Transcripts, Telephone number (855) 873-2223. Purchasing Party: Talitha Gray Kozlowski. Redaction Request Due By 10/7/2024. Redacted Transcript Submission Due By 10/17/2024. Transcript access will be restricted through 12/16/2024. (ACCESS TRANSCRIPTS, LLC) (Entered: 09/16/2024)",other
412060269,,"Transcript Copy Ordered by: Solomon Genet. (Related document(s)200 Transcript.) (ACCESS TRANSCRIPTS, LLC)",other
412060270,,"Hearing Scheduled/Rescheduled. Hearing scheduled 12/17/2024 at 01:30 PM at GS Zoom Teleconference Line. (Related document(s)212 Miscellaneous Application filed by Plaintiff CHRISTINA W. LOVATO, 215 Motion to Exclude filed by Defendant XTREME MANUFACTURING, LLC, 217 Motion to Exclude filed by Defendant AHERN RENTALS, INC..) (mmm) (Entered: 10/28/2024)",other
412060271,,Minute Entry Re: hearing on 11/19/2024 1:30 PM. Continued. (related document(s): 1 Complaint filed by CHRISTINA W. LOVATO) (Hearing scheduled 12/17/2024 at 01:30 PM at Zoom Video. (pal) (Entered: 11/14/2024),other
412060272,,Hearing Scheduled/Rescheduled. Scheduling Conference scheduled for 1/9/2025 at 09:30 AM at GS Zoom Teleconference Line. Status Hearing to be held on 1/9/2025 at 09:30 AM at GS Zoom Teleconference Line. (Related document(s)1 Complaint filed by Plaintiff CHRISTINA W. LOVATO.) (mmm) (Entered: 11/15/2024),other
412060273,,Minute Entry Re: hearing on 12/17/2024 1:30 PM. Vacated - Incorrectly Calendared (related document(s): 1 Complaint filed by CHRISTINA W. LOVATO) (pal) (Entered: 12/10/2024),other
412060274,425312742,Payment Received,other
412060275,425312743,Payment Received,other
412060276,425312744,Response to Motion,motion
412060277,425312745,Brief - Opening,motion
412060278,,"DOCKET ANNOTATION as to # 17 Proposed orders are not to be electronically filed as a separate pleading or as an attachment to a pleading, but instead are to be provided to chambers by e-mail (Court's Administrative Procedures for Electronic Case Filing Sec.5.B.). (cwl)",other
412060279,,Attorneys are advised to include the case number and new judge assignment of 3:20-cv-275-KHJ-LRA on future filed pleadings. (PKM),other
412060280,,Parties should include the case number and new judge assignment of 3:20cv275 KHJ-LGI on future filings (RLW),other
412060241,425312696,Notice (Other),other
412060242,425312697,Continue,other
412060243,425312698,Payment Received (Updates CVB),other
412060244,425312699,Payment Received,other
412060245,425312700,File Excess Pages,other
412060246,425312702,Informational Report,other
412060247,425312703,Sentencing Memorandum ,other
412060248,425312704,Request for Judicial Notice,other
412060249,425312705,Forfeiture of Collateral,other
412060250,425312706,Opposition to Motion,motion
